epoch,train_loss,train_acc,val_loss,val_acc,aAcc,mIoU,mAcc,best_val_loss,best_mIoU,early_stop_bad,val_images,val_batches
1,0.8096361358436243,0.7286338265264013,0.523144006729126,0.797047004988621,0.7963110921613565,0.6624102500910672,0.7839856890255525,0.523144006729126,0.6624102500910672,0,714,45
2,0.422394060915567,0.843117470760875,0.3602292305893368,0.8682709545270565,0.8680157582310658,0.7659882621159014,0.8573001156384299,0.3602292305893368,0.7659882621159014,0,714,45
3,0.33743188115411826,0.8771232360966347,0.3364987138244841,0.8792080675631123,0.8788890980311032,0.7849948058270343,0.8704130708466663,0.3364987138244841,0.7849948058270343,0,714,45
4,0.3019223688538911,0.8893329088809685,0.2894852075311873,0.8910155068025217,0.8907349397727219,0.8031175361607161,0.8850607494287096,0.2894852075311873,0.8031175361607161,0,714,45
5,0.2745593330555038,0.8993778239916935,0.3235916790035036,0.883071342239447,0.882739840516032,0.7879932710530236,0.8702175833705641,0.2894852075311873,0.8031175361607161,1,714,45
6,0.2616286662291726,0.9022239266975969,0.3168058047691981,0.8884836882670665,0.8882941472319761,0.8028090011066181,0.8863171018321355,0.2894852075311873,0.8031175361607161,2,714,45
7,0.24456758553403035,0.909292653656239,0.2717063321007623,0.9027309143248557,0.9025201610087684,0.8225258252836101,0.896658692948947,0.2717063321007623,0.8225258252836101,0,714,45
8,0.22894175594431743,0.914196663942988,0.3708675649431017,0.8745483360936498,0.8743083115721861,0.770102147117769,0.8580774518250599,0.2717063321007623,0.8225258252836101,1,714,45
9,0.22309723523959007,0.9157261636809071,0.26154235502084094,0.9006211410875675,0.90036424822762,0.8196207418035208,0.8967118639331749,0.26154235502084094,0.8225258252836101,0,714,45
10,0.21166095975049254,0.9184725301316212,0.31202715072366927,0.8866424052551444,0.8862738307697375,0.790295254768345,0.8715850181128709,0.26154235502084094,0.8225258252836101,1,714,45
11,0.19960473210484497,0.9233980853274987,0.2527934498257107,0.9056168972132203,0.9053947024744865,0.8298036576493663,0.904454821054563,0.2527934498257107,0.8298036576493663,0,714,45
12,0.20347245147643428,0.9221544227393246,0.2631904105345408,0.905596597952975,0.9053645271952699,0.828438952119425,0.9071647285308049,0.2527934498257107,0.8298036576493663,1,714,45
13,0.2034295027913393,0.9207106371757497,0.25173969666163126,0.9135678098112044,0.9133933270804488,0.8423314232949549,0.9114632072639065,0.25173969666163126,0.8423314232949549,0,714,45
14,0.19094462122640382,0.925681617114002,0.23342110282844966,0.9154431026507579,0.9153012279320719,0.8456566040100567,0.9143065371036014,0.23342110282844966,0.8456566040100567,0,714,45
15,0.1814414090562936,0.9286735509408995,0.26131722893979814,0.9013175342407425,0.901027882532636,0.8206856805384443,0.8972236125641523,0.23342110282844966,0.8456566040100567,1,714,45
16,0.1816498148488495,0.9290309665883857,0.2515893197721905,0.9105639288543371,0.9103722524275698,0.8380207925411437,0.9095926829642136,0.23342110282844966,0.8456566040100567,2,714,45
17,0.17936285162506757,0.9290352503513206,0.2580458359585868,0.9120751938886167,0.9118718916405456,0.838809395499665,0.9113420748031326,0.23342110282844966,0.8456566040100567,3,714,45
18,0.18224600724148562,0.9286309450707267,0.23591323958502874,0.9153135977405583,0.9151443592440491,0.8447243392423599,0.9117509663538796,0.23342110282844966,0.8456566040100567,4,714,45
19,0.16936698493039073,0.932467284054165,0.23231310149033865,0.9225770981980779,0.9224560752906625,0.8576780580584084,0.9205369091723178,0.23231310149033865,0.8576780580584084,0,714,45
20,0.17754141986370087,0.9300833272415955,0.24014341798093583,0.9193889837063745,0.9192509795439537,0.8528614716669055,0.9161281913545984,0.23231310149033865,0.8576780580584084,1,714,45
21,0.17967688942962082,0.9297075745187756,0.25070336361726125,0.9151726300806747,0.9149899842261334,0.8451638778919759,0.9135815430631603,0.23231310149033865,0.8576780580584084,2,714,45
22,0.1730980658436828,0.931534228242134,0.24021769927607642,0.9191306748691774,0.9189813183884182,0.8540033234194483,0.918060179012783,0.23231310149033865,0.8576780580584084,3,714,45
23,0.16788834066063874,0.933385774433569,0.2345582730240292,0.9202880122167507,0.9201372293654645,0.8541838180934388,0.9187230868979596,0.23231310149033865,0.8576780580584084,4,714,45
24,0.15902594121118963,0.9357932779893656,0.2439934081501431,0.920081909986474,0.9199382409055042,0.8543845233035006,0.9149757672467506,0.23231310149033865,0.8576780580584084,5,714,45
25,0.1711601346023479,0.9321171357306981,0.23815959990024566,0.9177728577136124,0.9175982081389998,0.8498235394356676,0.9121040467510034,0.23231310149033865,0.8576780580584084,6,714,45
26,0.1695508241338906,0.9326222762697184,0.24570444722970328,0.9177512306767137,0.9175777990661833,0.8501166626843618,0.9163431367079523,0.23231310149033865,0.8576780580584084,7,714,45
27,0.16471299308900153,0.9339551024989123,0.23302530149618786,0.9197510115068057,0.9195870396774853,0.8529278883777945,0.9203593901946058,0.23231310149033865,0.8576780580584084,8,714,45
28,0.16336005300991138,0.934562451036468,0.22249199946721396,0.9233050454617118,0.9231751717054238,0.8595300088891541,0.9206467249457803,0.22249199946721396,0.8595300088891541,0,714,45
29,0.16336641226720683,0.9350267020124401,0.23611151542928482,0.9218848666392596,0.9217378608814055,0.8563436358412898,0.9211972535011617,0.22249199946721396,0.8595300088891541,1,714,45
30,0.15903175895478291,0.9360870364783964,0.22326566411389245,0.9221097709611099,0.9219736717347906,0.8586858498008366,0.9193445545421121,0.22249199946721396,0.8595300088891541,2,714,45
31,0.15417134191713106,0.9376922876101021,0.2104441934161716,0.9270395243732185,0.9269310424710373,0.8666199927507404,0.924830213421461,0.2104441934161716,0.8666199927507404,0,714,45
32,0.15028751395780368,0.93851520037233,0.2667344588372442,0.9150269818463699,0.9148097557559712,0.8468913553296562,0.9137533446163241,0.2104441934161716,0.8666199927507404,1,714,45
33,0.17994925808308937,0.9293921151991397,0.22937594652175902,0.922142155581059,0.921992747108375,0.8573632267144536,0.9217625180482564,0.2104441934161716,0.8666199927507404,2,714,45
34,0.1563493359765151,0.937023281629616,0.23445594244533116,0.9236259581955721,0.9234899594698426,0.8602626665918232,0.9220934282393661,0.2104441934161716,0.8666199927507404,3,714,45
35,0.16514101669703435,0.934018631001341,0.22733498016993206,0.9189436335241009,0.9187827468765145,0.8533439482191548,0.9175671065418639,0.2104441934161716,0.8666199927507404,4,714,45
36,0.15450553637302644,0.9376403068739924,0.22083356181780497,0.9221534295237875,0.9220053250414125,0.8575459231062053,0.9212420595525538,0.2104441934161716,0.8666199927507404,5,714,45
37,0.15379175355063265,0.9376898782475344,1.1337067233191596,0.7596783018361568,0.758905984427391,0.5880236053280589,0.7172941712188777,0.2104441934161716,0.8666199927507404,6,714,45
38,0.16705489225469353,0.9333461744905807,0.22550860080454085,0.9216388379744359,0.9214963463924271,0.856684000601711,0.9185950133589696,0.2104441934161716,0.8666199927507404,7,714,45
39,0.1520262582714136,0.9384253976750353,0.2245869153075748,0.9240274573540369,0.9238872468218234,0.8623600541954617,0.9224473213108476,0.2104441934161716,0.8666199927507404,8,714,45
40,0.14909864327130656,0.9392085566494908,0.22782564063866934,0.9246770897284377,0.9245510147640371,0.8627811112095891,0.9236722635056119,0.2104441934161716,0.8666199927507404,9,714,45
41,0.16039775178268906,0.9361320817841858,0.22045160664452446,0.9267216466430215,0.9266109706918257,0.8655916778429242,0.92188722084554,0.2104441934161716,0.8666199927507404,10,714,45
